cam1_X,cam1_Y,cam2_X,cam2_Y
718.202515,528.490933,769.167285,549.510040
738.331662,528.595778,790.150243,549.522594
758.473422,528.675679,810.479638,549.423831
779.213091,528.772305,832.123409,549.458339
799.326248,528.869422,853.088294,548.763507
819.439795,529.563232,873.451084,548.006556
840.169873,529.662098,894.398664,549.291883
860.271745,529.751977,916.098711,547.957713
880.395986,529.855643,936.401877,548.594243
371.241613,544.449269,413.347409,570.908679
391.466488,543.961126,434.306460,570.830620
412.281404,544.642237,454.502367,570.839708
433.108559,544.737081,475.465042,571.385175
453.315923,544.841034,496.471547,571.370719
474.132553,545.523689,517.331117,570.712623
494.338633,545.605988,538.288415,570.692044
515.127138,545.715763,559.236967,569.947099
535.322918,545.818086,580.199429,569.981693
556.114380,546.505368,600.478549,569.932527
576.292169,546.584868,622.116094,569.878780
596.465331,546.680332,642.355265,570.501860
617.235597,546.764403,663.276878,569.800669
637.410780,546.870849,683.651873,569.779759
658.171703,547.562401,704.645704,569.736429
678.335748,547.048604,725.592716,569.682226
698.478038,547.741715,747.222932,569.036003
718.632797,547.818883,767.579020,569.617429
739.374459,548.517241,788.515943,569.600225
760.101299,548.608582,810.140803,569.504564
780.238690,548.710942,831.181363,569.530206
800.349153,548.817558,852.099011,569.478875
820.496984,548.892473,872.468353,568.782955
841.223796,549.586252,893.472105,568.748202
861.326843,549.681652,915.100814,569.335254
881.434207,549.768732,935.471774,568.060834
372.195365,563.852600,412.361563,591.562972
393.032931,564.527818,433.316434,590.854618
413.276907,564.036806,453.540102,590.830457
434.084561,564.697464,474.480214,591.453238
454.303931,565.398001,495.430621,590.802178
475.101205,564.897470,516.995876,590.738111
495.332672,565.588554,537.294102,590.739301
515.531777,565.077484,558.216420,591.310340
536.314180,565.776357,579.202174,590.069376
557.096864,566.437211,600.108690,590.635799
577.299580,566.541765,621.088835,590.569927
597.480653,566.635299,641.367320,589.954118
618.236539,566.728403,662.325455,589.917861
638.430869,566.811915,683.290402,589.861701
659.182511,566.908088,704.280228,589.778200
679.379515,566.983786,725.260770,590.397929
699.496781,567.695309,746.212832,589.712574
720.266763,567.790597,766.567540,589.720306
740.408099,567.851600,787.544026,589.004688
760.544418,567.948637,808.491787,589.652235
781.276535,568.638788,829.548853,589.599797
801.420875,568.736465,851.168711,588.895409
821.544887,568.815249,872.117353,589.537095
842.280246,569.527959,892.520254,589.459928
862.382503,569.605989,914.171237,588.778672
882.491782,569.697699,935.144059,588.743909
373.161769,583.843354,411.324855,611.656904
393.401522,583.928562,432.261804,610.905185
414.252794,584.023683,453.184187,610.908412
435.051508,584.699493,473.419379,611.496197
455.293288,584.771990,494.414506,611.465239
476.099708,584.875762,514.719975,610.848065
496.323409,585.553287,535.587085,611.406230
517.125430,585.045563,556.552445,611.421494
537.908358,585.723750,578.165211,611.380681
557.527182,585.824141,599.099680,610.047406
578.308532,585.915473,619.422452,610.689170
599.085759,586.591004,640.408781,610.651400
619.264544,586.694313,661.418496,610.617335
639.438486,586.779311,682.964910,610.590488
660.208350,586.855778,702.661088,610.553569
680.373218,587.530796,723.651163,609.875755
701.125953,587.633842,745.203980,610.491134
721.288877,587.724093,766.240348,609.787906
741.439922,587.812133,786.607784,609.732078
762.200236,587.890375,808.227301,609.711201
782.324638,587.967914,828.585984,609.045477
802.469018,588.665191,850.244493,609.616162
823.200130,588.757236,871.181773,609.631527
843.318566,589.444069,891.563128,609.526207
863.429593,588.917046,912.581037,608.883938
883.544104,589.622847,934.191455,608.816966
374.143921,603.841863,409.654619,631.686978
394.376540,604.501339,431.203030,631.613035
415.219834,604.608783,451.492294,630.906518
436.039946,604.092493,473.055598,631.604023
456.267848,604.770112,494.027820,631.564701
476.500598,604.864789,514.317646,630.919066
